Student Number, Course ID, Grade
1368085520,COGB20,54
1368085520,MATD48,34
1368085520,PSYD01,68
1368085520,COGA20,8
1368085520,PSYB01,30
1368085520,COGA58,21
1368085520,COGB48,42
1368085520,COGD20,63
1872128282,MGFA20,47
1872128282,MGHC08,62
1872128282,MGAA48,74
1872128282,MGAD08,27
1872128282,PSYB01,77
1872128282,MGFA20,13
1872128282,MGAA20,58
1866276499,ENGA08,25
1866276499,STAC58,26
1866276499,ENGA48,67
1866276499,BIOB48,66
1866276499,ENGB01,59
1866276499,ENGB58,3
1140790908,MGAD48,50
1140790908,MGFB20,78
1140790908,MGMA08,24
1140790908,PSCB20,42
1140790908,MGHA08,61
1140790908,MGFB48,21
1140790908,MGMD20,5
1732436744,MATA20,21
1732436744,MATA58,24
